"","industry_code","industry_title","2012.qtr1","2012.qtr2","2012.qtr3","2012.qtr4","2013.qtr1","2013.qtr2","2013.qtr3","2013.qtr4","2014.qtr1","2014.qtr2","2014.qtr3","2014.qtr4","2015.qtr1","2015.qtr2","2015.qtr3","2015.qtr4","2016.qtr1","2016.qtr2","2016.qtr3","2016.qtr4"
"20","11112","Oilseed, except soybean, farming",3,3,3,3,3,3,3,3,4,4,3,3,4,3,3,3,3,4,4,4
"21","111120","Oilseed, except soybean, farming",3,3,3,3,3,3,3,3,4,4,3,3,4,3,3,3,3,4,4,4
"24","11115","Corn farming",4,3,2,2,3,3,4,5,6,6,6,5,6,8,8,9,9,8,8,9
"25","111150","Corn farming",4,3,2,2,3,3,4,5,6,6,6,5,6,8,8,9,9,8,8,9
"39","111331","Apple orchards",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,1
"40","111332","Grape vineyards",3,3,4,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4,4,4
"43","111335","Tree nut farming",7,7,6,6,5,6,7,7,7,6,8,8,10,10,10,8,10,9,9,10
"127","115112","Soil preparation, planting, and cultivating",227,228,236,240,229,227,230,230,226,232,236,235,233,237,222,229,225,228,232,229
"131","115116","Farm management services",143,140,135,141,134,134,136,136,131,133,133,133,137,129,126,124,125,126,125,123
"153","21229","Other metal ore mining",5,5,5,6,6,6,6,6,6,7,7,6,8,8,7,7,8,9,9,10
"154","212299","All other metal ore mining",5,5,5,6,6,6,6,6,6,7,7,6,8,8,7,7,8,9,9,10
"183","221111","Hydroelectric power generation",4,4,4,4,4,5,6,7,7,7,7,7,5,7,7,7,8,8,8,8
"186","221114","Solar electric power generation",5,7,8,12,11,12,10,9,12,11,12,16,15,16,19,18,15,21,23,26
"190","221118","Other electric power generation",2,3,3,3,3,3,3,3,5,5,7,9,9,9,10,10,10,10,10,10
"304","311211","Flour milling",6,6,6,6,6,5,5,5,4,4,5,5,6,6,6,6,6,6,6,5
"307","31122","Starch and vegetable oil manufacturing",8,9,8,8,9,8,10,12,11,12,12,12,12,11,11,11,10,9,9,9
"310","311225","Fats and oils refining and blending",6,7,6,6,6,5,6,7,8,8,8,9,9,8,7,7,6,5,5,5
"311","31123","Breakfast cereal manufacturing",NA,NA,NA,NA,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1
"312","311230","Breakfast cereal manufacturing",NA,NA,NA,NA,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1
"339","311611","Animal, except poultry, slaughtering",21,20,19,21,22,24,24,24,25,23,23,22,21,21,23,22,26,27,27,26
"378","31213","Wineries",49,50,45,43,45,48,53,51,53,54,55,60,59,59,64,66,67,66,68,71
"379","312130","Wineries",49,50,45,43,45,48,53,51,53,54,55,60,59,59,64,66,67,66,68,71
"380","31214","Distilleries",9,9,12,13,11,13,13,16,19,19,19,19,24,26,30,31,27,27,25,26
"381","312140","Distilleries",9,9,12,13,11,13,13,16,19,19,19,19,24,26,30,31,27,27,25,26
"386","3131","Fiber, yarn, and thread mills",7,7,6,6,3,3,3,2,4,4,4,7,7,8,8,10,11,11,13,13
"387","31311","Fiber, yarn, and thread mills",7,7,6,6,3,3,3,2,4,4,4,7,7,8,8,10,11,11,13,13
"388","313110","Fiber, yarn, and thread mills",7,7,6,6,3,3,3,2,4,4,4,7,7,8,8,10,11,11,13,13
"389","3132","Fabric mills",38,34,34,37,33,33,35,37,49,46,47,48,45,45,43,47,46,40,44,44
"390","31321","Broadwoven fabric mills",10,9,9,11,10,10,9,12,20,19,20,20,18,19,16,20,18,16,18,17
"391","313210","Broadwoven fabric mills",10,9,9,11,10,10,9,12,20,19,20,20,18,19,16,20,18,16,18,17
"454","321213","Engineered wood member manufacturing",10,9,9,9,9,9,9,9,9,9,9,9,10,9,8,8,6,7,8,8
"582","326211","Tire manufacturing, except retreading",4,5,4,4,4,4,4,4,6,6,6,6,6,6,6,7,7,6,6,6
"583","326212","Tire retreading",23,23,22,21,21,21,21,21,20,19,19,20,20,20,20,20,18,19,18,19
"597","327211","Flat glass manufacturing",10,11,11,12,10,10,10,10,11,11,10,12,13,12,12,12,9,9,9,10
"612","32741","Lime manufacturing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4
"613","327410","Lime manufacturing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4
"614","32742","Gypsum product manufacturing",24,23,24,23,21,21,21,21,21,21,21,21,21,19,20,22,23,23,22,22
"615","327420","Gypsum product manufacturing",24,23,24,23,21,21,21,21,21,21,21,21,21,19,20,22,23,23,22,22
"622","327993","Mineral wool manufacturing",18,20,20,20,21,21,22,22,20,20,21,21,21,19,19,19,19,19,19,20
"623","327999","Miscellaneous nonmetallic mineral products",36,37,37,37,34,35,34,34,32,33,32,34,34,32,33,32,32,32,32,33
"639","331315","Aluminum sheet, plate, and foil manufacturing",8,8,8,8,5,5,5,6,7,8,7,7,10,9,11,12,13,13,13,12
"647","331491","Nonferrous metal, except cu and al, shaping",12,12,13,12,11,12,12,12,10,9,9,9,9,9,9,9,8,9,10,9
"648","331492","Secondary processing of other nonferrous",14,14,15,16,14,15,15,14,13,13,14,14,15,14,13,12,13,12,11,11
"662","332112","Nonferrous forging",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,2,3
"663","332114","Custom roll forming",4,4,4,4,5,5,5,5,5,6,5,5,5,5,7,6,7,7,7,8
"707","332911","Industrial valve manufacturing",7,6,7,8,10,10,9,9,13,15,14,13,16,16,16,17,16,18,19,19
"709","332913","Plumbing fixture fitting and trim mfg.",20,22,25,27,22,22,24,25,21,25,25,26,26,25,25,23,24,24,24,25
"710","332919","Other metal valve and pipe fitting mfg.",11,11,11,11,11,12,13,15,14,14,15,18,19,20,20,18,18,17,18,19
"712","332991","Ball and roller bearing manufacturing",5,5,4,4,4,4,4,5,6,7,7,7,8,8,8,8,8,8,8,8
"714","332993","Ammunition, except small arms, manufacturing",6,7,10,10,11,11,12,14,15,15,15,14,14,14,14,15,14,13,13,13
"731","333242","Semiconductor machinery manufacturing",6,7,7,7,6,6,6,6,7,7,9,10,12,12,14,14,14,14,14,15
"732","333243","Sawmill, woodworking, and paper machinery mfg",13,13,12,11,15,14,14,14,11,13,14,12,14,13,14,12,13,13,12,13
"754","333611","Turbine and turbine generator set units mfg.",14,17,18,20,16,20,20,20,42,45,42,41,38,39,42,39,38,39,39,39
"755","333612","Speed changer, drive, and gear manufacturing",8,8,9,10,9,10,10,10,12,12,11,12,10,9,9,10,10,9,9,9
"756","333613","Mechanical power transmission equipment mfg.",5,5,6,6,4,5,6,6,5,5,9,10,10,10,10,10,9,9,9,9
"769","333991","Power-driven handtool manufacturing",5,5,5,5,5,5,4,5,6,6,6,6,7,7,7,8,7,7,7,7
"852","3361","Motor vehicle manufacturing",24,24,21,19,20,22,21,24,26,26,24,25,29,26,29,30,32,29,30,30
"856","33612","Heavy duty truck manufacturing",6,6,4,4,4,4,5,5,7,7,7,7,9,9,9,10,9,7,7,7
"857","336120","Heavy duty truck manufacturing",6,6,4,4,4,4,5,5,7,7,7,7,9,9,9,10,9,7,7,7
"863","336214","Travel trailer and camper manufacturing",36,38,38,37,40,40,39,39,42,41,41,41,42,41,40,42,46,47,49,46
"877","33637","Motor vehicle metal stamping",9,10,10,10,8,8,9,8,6,7,7,7,8,7,8,9,8,8,9,9
"878","336370","Motor vehicle metal stamping",9,10,10,10,8,8,9,8,6,7,7,7,8,7,8,9,8,8,9,9
"896","3369","Other transportation equipment manufacturing",66,69,68,66,72,74,78,82,82,81,79,79,78,83,82,80,82,80,82,89
"897","33699","Other transportation equipment manufacturing",66,69,68,66,72,74,78,82,82,81,79,79,78,83,82,80,82,80,82,89
"898","336991","Motorcycle, bicycle, and parts manufacturing",34,36,35,35,38,38,40,41,41,40,41,41,39,40,40,36,36,37,37,39
"899","336992","Military armored vehicles and tank parts mfg.",6,7,7,7,8,8,8,9,8,8,7,7,7,7,7,7,8,8,8,9
"943","339992","Musical instrument manufacturing",20,20,20,20,20,18,19,18,20,21,21,21,22,21,20,20,22,21,21,23
"946","339995","Burial casket manufacturing",4,4,5,5,5,5,5,5,5,5,5,5,4,3,3,3,3,3,3,3
