"","industry_code","industry_title","2012.qtr1","2012.qtr2","2012.qtr3","2012.qtr4","2013.qtr1","2013.qtr2","2013.qtr3","2013.qtr4","2014.qtr1","2014.qtr2","2014.qtr3","2014.qtr4","2015.qtr1","2015.qtr2","2015.qtr3","2015.qtr4","2016.qtr1","2016.qtr2","2016.qtr3","2016.qtr4","total_missing","consecutive_missing"
"1","11112","Oilseed, except soybean, farming",5,5,5,NA,NA,NA,NA,NA,7,8,8,8,8,7,6,6,NA,6,NA,NA,8,5
"2","111120","Oilseed, except soybean, farming",5,5,5,NA,NA,NA,NA,NA,7,8,8,8,8,7,6,6,NA,6,NA,NA,8,5
"3","11115","Corn farming",82,NA,NA,NA,NA,NA,NA,52,60,50,51,47,48,51,52,53,51,52,50,51,6,6
"4","111150","Corn farming",82,NA,NA,NA,NA,NA,NA,52,60,50,51,47,48,51,52,53,51,52,50,51,6,6
"5","111331","Apple orchards",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,8,8
"6","111332","Grape vineyards",10,11,13,14,16,7,9,9,NA,NA,14,22,15,NA,NA,24,24,24,23,NA,5,2
"7","111335","Tree nut farming",40,44,32,34,24,29,41,37,NA,NA,33,33,31,23,25,NA,NA,NA,NA,25,6,2
"8","115112","Soil preparation, planting, and cultivating",1847,1698,1357,1590,1684,1634,1435,NA,1702,1723,1472,1524,1442,1492,1364,1534,1612,1597,1509,1623,1,1
"9","115116","Farm management services",2290,1730,1379,1903,2088,1794,1328,1683,NA,NA,1158,NA,NA,NA,1059,1099,1121,1135,1065,NA,6,2
"10","21229","Other metal ore mining",NA,NA,NA,NA,102,100,139,142,140,139,137,NA,NA,158,163,NA,159,158,169,164,7,4
"11","212299","All other metal ore mining",NA,NA,NA,NA,102,100,139,142,140,139,137,NA,NA,158,163,NA,159,158,169,164,7,4
"12","221111","Hydroelectric power generation",48,48,48,46,34,40,47,45,52,64,37,NA,23,28,30,31,41,41,37,36,1,1
"13","221114","Solar electric power generation",3,7,7,11,10,9,10,NA,14,12,19,25,32,35,43,49,41,54,77,81,1,1
"14","221118","Other electric power generation",NA,NA,NA,NA,NA,NA,NA,NA,5,4,6,7,35,35,35,35,35,31,26,24,8,8
"15","311211","Flour milling",NA,NA,NA,NA,NA,NA,NA,172,144,142,143,147,150,153,153,155,146,146,146,148,7,7
"16","31122","Starch and vegetable oil manufacturing",48,51,49,49,51,52,NA,NA,59,68,69,67,80,74,76,73,65,66,71,NA,3,2
"17","311225","Fats and oils refining and blending",NA,45,NA,43,44,NA,49,NA,54,52,54,52,67,57,57,55,47,48,NA,45,5,1
"18","31123","Breakfast cereal manufacturing",0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,8,4
"19","311230","Breakfast cereal manufacturing",0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,8,4
