"","industry_code","industry_title","2012.qtr1","2012.qtr2","2012.qtr3","2012.qtr4","2013.qtr1","2013.qtr2","2013.qtr3","2013.qtr4","2014.qtr1","2014.qtr2","2014.qtr3","2014.qtr4","2015.qtr1","2015.qtr2","2015.qtr3","2015.qtr4","2016.qtr1","2016.qtr2","2016.qtr3","2016.qtr4"
"1","11112","Oilseed, except soybean, farming",5,5,5,5,3,4,4,4,7,8,8,8,8,7,6,6,3,6,3,3
"2","111120","Oilseed, except soybean, farming",5,5,5,5,3,4,4,4,7,8,8,8,8,7,6,6,3,6,3,3
"3","11115","Corn farming",82,47,42,42,44,42,43,52,60,50,51,47,48,51,52,53,51,52,50,51
"4","111150","Corn farming",82,47,42,42,44,42,43,52,60,50,51,47,48,51,52,53,51,52,50,51
"5","111331","Apple orchards",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,1,0
"6","111332","Grape vineyards",10,11,13,14,16,7,9,9,7,8,14,22,15,16,20,24,24,24,23,24
"7","111335","Tree nut farming",40,44,32,34,24,29,41,37,40,39,33,33,31,23,25,12,21,21,20,25
"8","115112","Soil preparation, planting, and cultivating",1847,1698,1357,1590,1684,1634,1435,1557,1702,1723,1472,1524,1442,1492,1364,1534,1612,1597,1509,1623
"9","115116","Farm management services",2290,1730,1379,1903,2088,1794,1328,1683,1667,1354,1158,1360,1298,1159,1059,1099,1121,1135,1065,1095
"10","21229","Other metal ore mining",115,112,114,115,102,100,139,142,140,139,137,124,119,158,163,158,159,158,169,164
"11","212299","All other metal ore mining",115,112,114,115,102,100,139,142,140,139,137,124,119,158,163,158,159,158,169,164
"12","221111","Hydroelectric power generation",48,48,48,46,34,40,47,45,52,64,37,26,23,28,30,31,41,41,37,36
"13","221114","Solar electric power generation",3,7,7,11,10,9,10,9,14,12,19,25,32,35,43,49,41,54,77,81
"14","221118","Other electric power generation",2,2,5,3,3,2,3,4,5,4,6,7,35,35,35,35,35,31,26,24
"15","311211","Flour milling",156,154,153,154,154,156,164,172,144,142,143,147,150,153,153,155,146,146,146,148
"16","31122","Starch and vegetable oil manufacturing",48,51,49,49,51,52,57,63,59,68,69,67,80,74,76,73,65,66,71,69
"17","311225","Fats and oils refining and blending",42,45,42,43,44,45,49,54,54,52,54,52,67,57,57,55,47,48,46,45
"18","31123","Breakfast cereal manufacturing",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","311230","Breakfast cereal manufacturing",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","311611","Animal, except poultry, slaughtering",510,498,506,519,397,465,464,478,471,433,434,457,454,417,420,465,398,176,205,240
"21","31213","Wineries",213,212,184,203,197,179,194,189,218,201,226,254,239,275,311,344,352,359,333,333
"22","312130","Wineries",213,212,184,203,197,179,194,189,218,201,226,254,239,275,311,344,352,359,333,333
"23","31214","Distilleries",309,325,297,386,366,374,364,375,380,375,391,384,395,394,415,468,485,482,475,481
"24","312140","Distilleries",309,325,297,386,366,374,364,375,380,375,391,384,395,394,415,468,485,482,475,481
"25","3131","Fiber, yarn, and thread mills",20,24,25,23,9,8,8,7,10,21,20,28,32,30,31,30,36,41,45,48
"26","31311","Fiber, yarn, and thread mills",20,24,25,23,9,8,8,7,10,21,20,28,32,30,31,30,36,41,45,48
"27","313110","Fiber, yarn, and thread mills",20,24,25,23,9,8,8,7,10,21,20,28,32,30,31,30,36,41,45,48
"28","3132","Fabric mills",414,412,404,415,262,275,313,333,514,495,468,487,476,473,484,553,538,502,500,514
"29","31321","Broadwoven fabric mills",33,24,22,25,22,25,25,25,147,130,119,128,117,117,120,145,143,143,154,162
"30","313210","Broadwoven fabric mills",33,24,22,25,22,25,25,25,147,130,119,128,117,117,120,145,143,143,154,162
"31","321213","Engineered wood member manufacturing",113,134,145,199,150,151,162,162,138,64,61,61,61,109,123,126,108,115,102,128
"32","326211","Tire manufacturing, except retreading",16,20,22,21,16,17,17,16,19,19,17,17,18,21,21,31,21,20,21,21
"33","326212","Tire retreading",254,252,243,230,214,224,226,225,230,225,228,220,224,228,225,232,205,208,209,207
"34","327211","Flat glass manufacturing",273,304,373,383,271,355,390,387,405,431,456,431,397,425,447,460,447,464,482,478
"35","32741","Lime manufacturing",0,0,0,0,0,0,0,0,0,0,0,0,53,50,50,50,51,60,67,63
"36","327410","Lime manufacturing",0,0,0,0,0,0,0,0,0,0,0,0,53,50,50,50,51,60,67,63
"37","32742","Gypsum product manufacturing",639,652,642,614,584,590,584,551,544,564,584,590,585,604,607,638,620,620,605,627
"38","327420","Gypsum product manufacturing",639,652,642,614,584,590,584,551,544,564,584,590,585,604,607,638,620,620,605,627
"39","327993","Mineral wool manufacturing",491,495,511,512,532,541,540,525,499,513,525,530,525,522,512,505,484,460,446,428
"40","327999","Miscellaneous nonmetallic mineral products",509,516,536,530,503,494,492,502,403,423,423,455,471,458,470,452,428,466,492,494
"41","331315","Aluminum sheet, plate, and foil manufacturing",44,39,39,35,27,26,30,29,35,36,44,38,43,35,39,54,59,55,59,64
"42","331491","Nonferrous metal, except cu and al, shaping",207,220,203,202,204,199,204,212,200,204,224,235,230,209,200,200,192,191,196,232
"43","331492","Secondary processing of other nonferrous",364,393,431,461,454,494,505,519,535,512,521,526,510,521,529,533,542,547,543,528
"44","332112","Nonferrous forging",0,0,0,0,0,0,0,0,0,0,0,0,27,26,30,29,29,32,36,41
"45","332114","Custom roll forming",18,21,20,20,33,34,36,36,34,33,32,32,29,27,25,28,39,37,44,44
"46","332911","Industrial valve manufacturing",313,308,318,327,382,399,415,421,494,505,522,545,551,546,543,521,509,496,467,462
"47","332913","Plumbing fixture fitting and trim mfg.",129,127,123,187,166,180,191,214,152,151,135,145,190,233,248,231,197,165,130,119
